Num,Label,Value,Active_Cnt,Phase,Min,Max,Init,Used,Status,Parm_StDev,Gradient,Pr_type
203,Fishery_ARDEV_y1948_a1,-1.53802,149,5,-10,10,0,0,act,0.607388,-1.99E-08,dev
204,Fishery_ARDEV_y1948_a2,-1.52898,150,5,-10,10,0,0,act,0.606005,-1.56E-07,dev
205,Fishery_ARDEV_y1948_a3,0.516889,151,5,-10,10,0,0,act,0.276867,-1.25E-07,dev
206,Fishery_ARDEV_y1948_a4,-0.103545,152,5,-10,10,0,0,act,0.333144,-5.05E-08,dev
207,Fishery_ARDEV_y1948_a5,0.54097,153,5,-10,10,0,0,act,0.291907,-1.44E-07,dev
208,Fishery_ARDEV_y1948_a6,0.390612,154,5,-10,10,0,0,act,0.299511,-5.43E-08,dev
209,Fishery_ARDEV_y1949_a1,-1.07186,155,5,-10,10,0,0,act,0.653676,-1.06E-07,dev
210,Fishery_ARDEV_y1949_a2,-1.39239,156,5,-10,10,0,0,act,0.606685,-7.14E-08,dev
211,Fishery_ARDEV_y1949_a3,0.124759,157,5,-10,10,0,0,act,0.278885,1.69E-08,dev
212,Fishery_ARDEV_y1949_a4,-0.144433,158,5,-10,10,0,0,act,0.322418,6.53E-08,dev
213,Fishery_ARDEV_y1949_a5,-0.369293,159,5,-10,10,0,0,act,0.356227,-1.27E-07,dev
214,Fishery_ARDEV_y1949_a6,0.549715,160,5,-10,10,0,0,act,0.288043,-2.20E-07,dev
215,Fishery_ARDEV_y1950_a1,-0.759863,161,5,-10,10,0,0,act,0.695987,-8.53E-08,dev
216,Fishery_ARDEV_y1950_a2,-0.813648,162,5,-10,10,0,0,act,0.691875,3.16E-08,dev
217,Fishery_ARDEV_y1950_a3,0.889346,163,5,-10,10,0,0,act,0.276596,-1.75E-08,dev
218,Fishery_ARDEV_y1950_a4,0.533533,164,5,-10,10,0,0,act,0.290072,1.45E-07,dev
219,Fishery_ARDEV_y1950_a5,-0.012477,165,5,-10,10,0,0,act,0.357007,1.12E-07,dev
220,Fishery_ARDEV_y1950_a6,-0.0822711,166,5,-10,10,0,0,act,0.364428,-1.29E-07,dev
221,Fishery_ARDEV_y1951_a1,-0.601513,167,5,-10,10,0,0,act,0.655614,-9.60E-08,dev
222,Fishery_ARDEV_y1951_a2,1.10956,168,5,-10,10,0,0,act,0.344726,1.48E-07,dev
223,Fishery_ARDEV_y1951_a3,1.39705,169,5,-10,10,0,0,act,0.324934,6.78E-07,dev
224,Fishery_ARDEV_y1951_a4,1.4251,170,5,-10,10,0,0,act,0.307572,5.28E-07,dev
225,Fishery_ARDEV_y1951_a5,0.859733,171,5,-10,10,0,0,act,0.333216,5.76E-08,dev
226,Fishery_ARDEV_y1951_a6,0.122602,172,5,-10,10,0,0,act,0.40678,1.50E-07,dev
227,Fishery_ARDEV_y1952_a1,-0.489022,173,5,-10,10,0,0,act,0.658455,-1.22E-07,dev
228,Fishery_ARDEV_y1952_a2,1.24756,174,5,-10,10,0,0,act,0.300772,9.71E-08,dev
229,Fishery_ARDEV_y1952_a3,0.637078,175,5,-10,10,0,0,act,0.360922,5.92E-08,dev
230,Fishery_ARDEV_y1952_a4,0.877404,176,5,-10,10,0,0,act,0.367237,-1.56E-07,dev
231,Fishery_ARDEV_y1952_a5,0.724035,177,5,-10,10,0,0,act,0.35827,-1.18E-07,dev
232,Fishery_ARDEV_y1952_a6,0.468378,178,5,-10,10,0,0,act,0.360074,-5.17E-08,dev
233,Fishery_ARDEV_y1953_a1,1.11809,179,5,-10,10,0,0,act,0.314053,-1.51E-08,dev
234,Fishery_ARDEV_y1953_a2,1.56709,180,5,-10,10,0,0,act,0.313028,-1.63E-07,dev
235,Fishery_ARDEV_y1953_a3,1.21599,181,5,-10,10,0,0,act,0.333752,2.99E-07,dev
236,Fishery_ARDEV_y1953_a4,0.872258,182,5,-10,10,0,0,act,0.399674,1.74E-07,dev
