ParName   Value   Gradient
SR_parm[1]      18.1115 -5.43524e-05
SR_parm[2]     0.553496 -7.47794e-07
SR_parm[6]    0.0456307 -4.93852e-06
recdev1(1947)     0.184243 -3.46737e-07
recdev1(1948)    -0.255626  5.72507e-08
recdev1(1949)    -0.246922  1.05372e-07
recdev1(1950)     0.106222 -3.26842e-07
recdev1(1951)    0.0436078 -4.75093e-09
recdev1(1952)     0.171007  4.66427e-09
recdev1(1953)     0.268554 -1.42712e-07
recdev1(1954)    0.0161065  7.26474e-08
recdev1(1955)     0.182248 -5.30465e-07
recdev1(1956)     -0.33132 -1.33958e-07
recdev1(1957)      1.06301 -1.05398e-06
recdev1(1958)     -0.21432 -2.69869e-07
recdev1(1959)     0.123411 -2.97653e-07
recdev1(1960)    -0.888538 -1.89407e-07
recdev1(1961)     0.957797 -2.78205e-06
recdev1(1962)    0.0663408 -6.56526e-07
recdev1(1963)     0.236946 -6.72328e-07
recdev1(1964)     0.365747 -2.13712e-06
recdev1(1965)    -0.327614 -1.35021e-06
recdev1(1966)    -0.509084  -1.4297e-06
recdev1(1967)   -0.0626545 -2.00519e-06
recdev1(1968)   -0.0398344 -2.49312e-06
recdev1(1969)    -0.597409 -1.07989e-06
recdev1(1970)    0.0480555 -2.32554e-06
recdev1(1971)    0.0610408 -5.21276e-08
recdev1(1972)    -0.340412 -2.96155e-07
recdev1(1973)      -1.0545 -2.11052e-07
recdev1(1974)    0.0302848  2.96012e-08
recdev1(1975)     -1.36347  3.89763e-07
recdev1(1976)     -1.26818  7.41418e-07
recdev1(1977)    -0.144953  6.71075e-07
recdev1(1978)    0.0754401  4.15876e-07
recdev1(1979)     0.499393  1.99185e-06
recdev1(1980)     0.463629  4.93904e-07
recdev1(1981)     0.784268  1.79057e-06
recdev1(1982)      1.02814  8.01916e-07
recdev1(1983)     0.717444  2.21779e-06
recdev1(1984)     0.308346  1.64667e-06
recdev1(1985)     0.519881  1.44073e-06
recdev1(1986)     0.749314  2.81367e-06
recdev1(1987)     0.526929  8.88344e-07
recdev1(1988)    -0.174115  8.64335e-07
recdev1(1989)    -0.347171  1.81869e-07
recdev1(1990)    -0.411925 -1.70793e-07
recdev1(1991)    -0.364304 -4.41513e-07
recdev1(1992)     0.390564 -7.16352e-07
recdev1(1993)     0.491379   -2.026e-06
recdev1(1994)    0.0482745 -1.20538e-06
recdev1(1995)     0.232666 -1.47344e-06
recdev1(1996)     0.394768  -1.1034e-06
recdev1(1997)     -0.33486  2.90862e-07
recdev1(1998)    -0.594204  1.25181e-07
recdev1(1999)       0.6143   1.2204e-06
recdev1(2000)   -0.0115359  6.60236e-07
recdev1(2001)     0.826706  8.30331e-07
recdev1(2002)    -0.240171  1.11035e-06
recdev1(2003)    -0.800213  7.56522e-07
recdev1(2004)    -0.623894  7.65215e-07
recdev1(2005)    -0.700117  8.94253e-07
recdev1(2006)    -0.386047  9.55465e-07
recdev1(2007)    -0.254485  9.72306e-07
recdev1(2008)    -0.191722   9.8194e-07
recdev1(2009)     0.163288  6.80199e-07
recdev1(2010)     0.320255  5.70078e-07
Fcast_recruitments(2011)     0.476017 -1.23401e-07
Fcast_recruitments(2012)            0            0
init_F[1]     0.011642  5.47054e-07
F_rate[1]      0.13451 -3.22187e-07
F_rate[2]     0.118348 -3.19004e-07
F_rate[3]     0.146807  -3.8735e-07
F_rate[4]     0.122267  -5.4827e-07
F_rate[5]      0.10169 -1.55398e-08
F_rate[6]     0.145639 -4.03195e-07
F_rate[7]      0.12813 -4.78462e-07
F_rate[8]     0.184095 -3.01389e-07
F_rate[9]     0.145543  4.03146e-07
F_rate[10]     0.149773  -8.9057e-08
F_rate[11]     0.115262  7.48959e-07
F_rate[12]     0.152541 -8.77097e-07
F_rate[13]     0.227505 -3.13158e-07
F_rate[14]      0.24073  1.52896e-06
F_rate[15]     0.194936  5.23054e-07
F_rate[16]     0.164578  4.39836e-07
F_rate[17]     0.191016  9.12961e-08
F_rate[18]     0.205302   7.6686e-07
F_rate[19]     0.331316  1.29416e-06
F_rate[20]     0.384004  1.15065e-06
F_rate[21]     0.401105  3.87963e-07
F_rate[22]     0.489697  3.74158e-07
F_rate[23]     0.362772  8.95039e-07
F_rate[24]     0.568212  -2.1853e-07
F_rate[25]     0.579997 -3.03697e-08
F_rate[26]      0.94343  1.42315e-07
F_rate[27]      1.01606  5.35327e-08
F_rate[28]      1.22693 -8.84938e-08
F_rate[29]       2.3314  1.22063e-07
F_rate[30]      1.92405 -2.39558e-07
F_rate[31]      1.16073  6.37111e-07
F_rate[32]        0.376 -1.90199e-06
F_rate[33]     0.759188 -6.33235e-07
F_rate[34]      1.31211  5.26992e-07
F_rate[35]            4 -1.68915e-08
F_rate[36]      3.99822  2.41974e-08
F_rate[37]            4  3.18119e-08
F_rate[38]      2.64401  2.18195e-08
F_rate[39]      1.31728 -1.87467e-07
F_rate[40]     0.832406 -9.50438e-08
F_rate[41]      2.07996 -2.89904e-07
F_rate[42]      1.34608     3.27e-07
F_rate[43]      1.70615  9.13406e-08
F_rate[44]     0.877774  5.97262e-07
F_rate[45]      1.51152   4.9254e-07
F_rate[46]      3.65722  1.36458e-07
F_rate[47]      3.77316  1.15192e-07
F_rate[48]      2.61355  1.05451e-06
F_rate[49]       3.3549 -2.26349e-07
F_rate[50]     0.836621 -1.88047e-07
F_rate[51]     0.337191 -3.71512e-07
F_rate[52]     0.282888  3.82567e-08
F_rate[53]     0.349316 -3.84054e-07
F_rate[54]     0.430948 -3.85351e-07
F_rate[55]     0.294468  1.17162e-07
F_rate[56]     0.296472 -5.34192e-07
F_rate[57]     0.277672   6.7843e-07
F_rate[58]     0.405755  -5.1686e-08
F_rate[59]     0.629766  3.98075e-07
F_rate[60]     0.465159 -1.96324e-07
F_rate[61]     0.363876  4.34381e-08
F_rate[62]     0.296513  1.48542e-07
F_rate[63]     0.179581  5.20093e-07
F_rate[64]     0.150258  1.23644e-06
F_rate[65]     0.150622  8.61695e-07
selparm[2]     0.894349  6.06531e-06
selparm[3]     0.628379 -4.65058e-06
selparm[4]     0.441173 -7.82802e-06
selparm[5]     0.213675 -1.43644e-05
selparm[6]     0.183287 -1.97226e-05
selparm[7]     0.204291 -2.11846e-05
selparm[8]    -0.022358 -5.58618e-06
selparm[11]           20  1.52686e-10
selparm[12]     0.185719  -1.7629e-06
selparm[13]     0.168196 -2.03367e-06
selparm[14]    0.0430455 -1.89754e-06
selparm[15]    0.0911782 -1.24957e-06
selparm[16]     0.322214 -7.21263e-07
parm_dev[1](1)     -1.53802  9.55494e-08
parm_dev[1](2)     -1.52898  3.53685e-08
parm_dev[1](3)     0.516889 -1.31315e-07
parm_dev[1](4)    -0.103545 -3.46209e-08
parm_dev[1](5)      0.54097 -1.11043e-07
parm_dev[1](6)     0.390612 -1.27581e-07
parm_dev[1](7)     -1.07186  6.98212e-08
parm_dev[1](8)     -1.39239  8.64397e-08
parm_dev[1](9)     0.124759 -1.86531e-07
parm_dev[1](10)    -0.144433 -1.02114e-07
parm_dev[1](11)    -0.369293  -1.2365e-07
parm_dev[1](12)     0.549715 -9.65625e-08
parm_dev[1](13)    -0.759863 -7.82279e-09
parm_dev[1](14)    -0.813648 -2.18482e-08
parm_dev[1](15)     0.889346  -3.5663e-07
parm_dev[1](16)     0.533533 -2.44352e-08
parm_dev[1](17)    -0.012477 -1.70385e-07
parm_dev[1](18)   -0.0822711 -1.70845e-07
parm_dev[1](19)    -0.601513  1.44996e-07
parm_dev[1](20)      1.10956  2.17703e-08
parm_dev[1](21)      1.39705  5.08589e-08
parm_dev[1](22)       1.4251  1.80516e-07
parm_dev[1](23)     0.859733  4.63802e-08
parm_dev[1](24)     0.122602 -3.62946e-08
parm_dev[1](25)    -0.489022  1.37104e-08
parm_dev[1](26)      1.24756 -4.03554e-07
parm_dev[1](27)     0.637078 -2.03208e-08
parm_dev[1](28)     0.877404  1.43087e-07
parm_dev[1](29)     0.724035 -7.96629e-08
parm_dev[1](30)     0.468378 -1.22198e-07
parm_dev[1](31)      1.11809  1.85011e-08
parm_dev[1](32)      1.56709 -1.19128e-07
parm_dev[1](33)      1.21599  -1.3148e-07
parm_dev[1](34)     0.872258 -1.19516e-08
parm_dev[1](35)     0.899741  -7.1193e-09
parm_dev[1](36)     0.869627 -1.18528e-07
parm_dev[1](37)     0.967025  1.03507e-07
parm_dev[1](38)      1.20746 -2.39675e-07
parm_dev[1](39)      1.05325 -3.00794e-07
parm_dev[1](40)     0.520624   1.3186e-08
parm_dev[1](41)     0.458493 -4.71596e-08
parm_dev[1](42)     0.639046  6.65235e-09
parm_dev[1](43)      2.03335  2.58754e-07
parm_dev[1](44)      1.79067  2.32136e-07
parm_dev[1](45)      1.30473  2.44992e-07
parm_dev[1](46)     0.871571  1.68488e-07
parm_dev[1](47)     0.578808  3.04356e-08
parm_dev[1](48)     0.629032 -3.43672e-08
parm_dev[1](49)      1.42471 -1.75915e-07
parm_dev[1](50)      1.97015  1.24746e-08
parm_dev[1](51)      1.24256  2.51242e-08
parm_dev[1](52)     0.690063  3.03164e-08
parm_dev[1](53)     0.294166 -2.31876e-08
parm_dev[1](54)    0.0869028  -7.2792e-08
parm_dev[1](55)      2.32975  3.03621e-07
parm_dev[1](56)      2.01793  6.96826e-07
parm_dev[1](57)      1.62346   4.4736e-07
parm_dev[1](58)      1.34681  5.72984e-07
parm_dev[1](59)     0.988385  2.76239e-07
parm_dev[1](60)     0.725285  9.63245e-08
parm_dev[1](61)      1.57125 -5.85591e-07
parm_dev[1](62)      1.75099 -4.07552e-07
parm_dev[1](63)      1.21127 -4.23765e-07
parm_dev[1](64)     0.679317 -1.34276e-07
parm_dev[1](65)     0.957873 -2.30699e-07
parm_dev[1](66)     0.100663 -5.93486e-08
parm_dev[1](67)     0.255987  5.42805e-08
parm_dev[1](68)      1.21282 -9.92065e-07
parm_dev[1](69)     0.460087 -9.48337e-08
parm_dev[1](70)     0.160455 -1.46979e-07
parm_dev[1](71)    0.0642069 -7.74333e-08
parm_dev[1](72)    0.0919912 -7.29842e-08
parm_dev[1](73)      1.46552  7.00649e-07
parm_dev[1](74)      1.21048   3.1607e-07
parm_dev[1](75)      0.54097  2.41529e-06
parm_dev[1](76)    -0.121598  1.98225e-07
parm_dev[1](77)    -0.415317  2.15374e-07
parm_dev[1](78)    -0.162046  1.84698e-07
parm_dev[1](79)     0.669705  1.64146e-07
parm_dev[1](80)      1.77801  2.86163e-07
parm_dev[1](81)     0.683964  3.10057e-07
parm_dev[1](82)      0.80971  5.65839e-07
parm_dev[1](83)    0.0318063 -2.36668e-08
parm_dev[1](84)    -0.114785  1.00844e-07
parm_dev[1](85)      0.93932  1.42725e-07
parm_dev[1](86)     0.742519  1.58594e-08
parm_dev[1](87)      1.32675  3.57726e-07
parm_dev[1](88)     0.811542  1.68647e-07
parm_dev[1](89)      1.12928  1.85433e-07
parm_dev[1](90)     0.415835  2.66084e-08
parm_dev[1](91)      1.39938  3.73218e-07
parm_dev[1](92)      1.47736 -2.97666e-07
parm_dev[1](93)     0.410647  3.26764e-08
parm_dev[1](94)     0.112322  2.93616e-08
parm_dev[1](95)    -0.146743 -5.94598e-08
parm_dev[1](96)   -0.0401253 -9.03252e-08
parm_dev[1](97)      2.01653  5.75739e-07
parm_dev[1](98)       1.5242  4.67974e-07
parm_dev[1](99)      1.05078  7.56317e-07
parm_dev[1](100)     0.233818   8.6479e-08
parm_dev[1](101)    0.0644489  2.14799e-07
parm_dev[1](102)   -0.0869203  5.70327e-08
parm_dev[1](103)      1.29558  9.65987e-07
parm_dev[1](104)      1.57682  9.62706e-07
parm_dev[1](105)      1.08978  7.12418e-07
parm_dev[1](106)     0.897779  1.27333e-06
parm_dev[1](107)     0.109962  4.00174e-08
parm_dev[1](108)   -0.0381164  1.17865e-07
parm_dev[1](109)     0.933233  7.81542e-07
parm_dev[1](110)      1.31813  1.16794e-06
parm_dev[1](111)     0.743135  6.80889e-07
parm_dev[1](112)     0.477377  4.02166e-07
parm_dev[1](113)     0.605616  7.49757e-07
parm_dev[1](114)     -0.42961    8.698e-08
parm_dev[1](115)      1.22558   4.2038e-07
parm_dev[1](116)     0.920842  4.04485e-07
parm_dev[1](117)     0.999794   1.1746e-07
parm_dev[1](118)     0.509201  1.11426e-07
parm_dev[1](119)     0.555078 -2.71052e-08
parm_dev[1](120)     0.335313 -8.70278e-08
parm_dev[1](121)     0.882751  7.89587e-07
parm_dev[1](122)       1.5105  2.94671e-07
parm_dev[1](123)      1.48936  3.24592e-07
parm_dev[1](124)     0.658559  1.00015e-07
parm_dev[1](125)    0.0598132  9.04605e-08
parm_dev[1](126)     0.317997 -9.36507e-09
parm_dev[1](127)      1.62911  1.65096e-06
parm_dev[1](128)      1.66347  1.49568e-06
parm_dev[1](129)     0.817005  4.67821e-07
parm_dev[1](130)     0.586095   2.2749e-07
parm_dev[1](131)     0.854017  1.97213e-07
parm_dev[1](132)    0.0743824  1.19968e-07
parm_dev[1](133)     0.896642  2.42844e-07
parm_dev[1](134)      1.52912 -5.71793e-07
parm_dev[1](135)      1.12009 -6.95114e-07
parm_dev[1](136)     0.198694 -2.81407e-09
parm_dev[1](137)    0.0158721 -5.87946e-08
parm_dev[1](138)    -0.294251 -7.17286e-08
parm_dev[1](139)      1.61584 -1.85249e-07
parm_dev[1](140)      1.20141 -1.98253e-07
parm_dev[1](141)      1.19919 -2.94706e-07
parm_dev[1](142)      0.54884 -3.39241e-07
parm_dev[1](143)    -0.205706 -1.18289e-07
parm_dev[1](144)    -0.104754 -1.07886e-08
parm_dev[1](145)      1.18203   1.0459e-08
parm_dev[1](146)     0.758555  8.53193e-07
parm_dev[1](147)     0.267621  1.85122e-08
parm_dev[1](148)    -0.280769  8.65921e-09
parm_dev[1](149)    -0.164462  8.50954e-08
parm_dev[1](150)   -0.0962498 -8.14815e-09
parm_dev[1](151)      1.27563  7.36639e-07
